WEBGOAT,,,Component,,Version,CVEs
apache,commons-compress,org.apache.commons:commons-compress,org.apache.commons:commons-compress:1.21,,1.21,
apache,commons-exec,org.apache.commons:commons-exec,org.apache.commons:commons-exec:1.3,,1.3,
apache,commons-exec,org.apache.commons:commons-exec,org.apache.commons:commons-exec,,,
apache,commons-io,commons-io:commons-io,commons-io:commons-io,,,
apache,commons-lang,org.apache.commons:commons-lang3,org.apache.commons:commons-lang3,,,
apache,commons-text,org.apache.commons:commons-text,org.apache.commons:commons-text,,,
apache,logging-log4j2,org.apache.logging.log4j:log4j-api,org.apache.logging.log4j:log4j-api:2.15.0,,2.15.0,
apache,logging-log4j2,org.apache.logging.log4j:log4j-core,org.apache.logging.log4j:log4j-core:2.15.0,,2.15.0,CVE-2021-45046
apache,logging-log4j2,org.apache.logging.log4j:log4j-core,org.apache.logging.log4j:log4j-core:2.15.0,,2.15.0,CVE-2021-45105
apache,logging-log4j2,org.apache.logging.log4j:log4j-core,org.apache.logging.log4j:log4j-core:2.15.0,,2.15.0,CVE-2021-44832
apache,maven-plugins,org.apache.maven.plugins:maven-checkstyle-plugin,org.apache.maven.plugins:maven-checkstyle-plugin,,,
apache,maven-plugins,org.apache.maven.plugins:maven-compiler-plugin,org.apache.maven.plugins:maven-compiler-plugin,,,
apache,maven-plugins,org.apache.maven.plugins:maven-enforcer-plugin,org.apache.maven.plugins:maven-enforcer-plugin:3.0.0,,3.0.0,
apache,maven-surefire,org.apache.maven.plugins:maven-failsafe-plugin,org.apache.maven.plugins:maven-failsafe-plugin,,,
apache,maven-surefire,org.apache.maven.plugins:maven-surefire-plugin,org.apache.maven.plugins:maven-surefire-plugin,,,
asciidoctor,asciidoctorj,org.asciidoctor:asciidoctorj,org.asciidoctor:asciidoctorj,,,
bazaarvoice,maven-process-plugin,com.bazaarvoice.maven.plugins:process-exec-maven-plugin,com.bazaarvoice.maven.plugins:process-exec-maven-plugin:0.9,,0.9,
bonigarcia,webdrivermanager,io.github.bonigarcia:webdrivermanager,io.github.bonigarcia:webdrivermanager,,,
cglib,cglib,cglib:cglib-nodep,cglib:cglib-nodep,,,
,,com.github.tomakehurst:wiremock,com.github.tomakehurst:wiremock,,,
,,com.nulab-inc:zxcvbn,com.nulab-inc:zxcvbn,,,
flyway,flyway,org.flywaydb:flyway-core,org.flywaydb:flyway-core,,,
google,guava,com.google.guava:guava,com.google.guava:guava,,,
javaee,jaxb-spec,javax.xml.bind:jaxb-api,javax.xml.bind:jaxb-api,,,
jeremylong,DependencyCheck,org.owasp:dependency-check-maven,org.owasp:dependency-check-maven:6.5.1,,6.5.1,
jhy,jsoup,org.jsoup:jsoup,org.jsoup:jsoup,,,
jruby,jruby,org.jruby:jruby,org.jruby:jruby:9.3.6.0,,9.3.6.0,
jwtk,jjwt,io.jsonwebtoken:jjwt,io.jsonwebtoken:jjwt,,,
mojohaus,build-helper-maven-plugin,org.codehaus.mojo:build-helper-maven-plugin,org.codehaus.mojo:build-helper-maven-plugin,,,
MyXOF,HyperSQL,org.hsqldb:hsqldb,org.hsqldb:hsqldb,,,
,,org.glassfish.jaxb:jaxb-runtime,org.glassfish.jaxb:jaxb-runtime,,,
,,org.ow2.asm:asm,org.ow2.asm:asm:9.1,,9.1,
,,org.thymeleaf.extras:thymeleaf-extras-springsecurity5,org.thymeleaf.extras:thymeleaf-extras-springsecurity5,,,
projectlombok,lombok,org.projectlombok:lombok,org.projectlombok:lombok,,,
RbkGh,Jose4j,org.bitbucket.b_c:jose4j,org.bitbucket.b_c:jose4j,,,
rest-assured,rest-assured,io.rest-assured:rest-assured,io.rest-assured:rest-assured,,,
spring-projects,spring-boot,org.springframework.boot:spring-boot-maven-plugin,org.springframework.boot:spring-boot-maven-plugin,,,
spring-projects,spring-boot,org.springframework.boot:spring-boot-starter-actuator,org.springframework.boot:spring-boot-starter-actuator,,,
spring-projects,spring-boot,org.springframework.boot:spring-boot-starter-data-jpa,org.springframework.boot:spring-boot-starter-data-jpa,,,
spring-projects,spring-boot,org.springframework.boot:spring-boot-starter-security,org.springframework.boot:spring-boot-starter-security,,,
spring-projects,spring-boot,org.springframework.boot:spring-boot-starter-test,org.springframework.boot:spring-boot-starter-test,,,
spring-projects,spring-boot,org.springframework.boot:spring-boot-starter-thymeleaf,org.springframework.boot:spring-boot-starter-thymeleaf,,,
spring-projects,spring-boot,org.springframework.boot:spring-boot-starter-undertow,org.springframework.boot:spring-boot-starter-undertow,,,
spring-projects,spring-boot,org.springframework.boot:spring-boot-starter-validation,org.springframework.boot:spring-boot-starter-validation,,,
spring-projects,spring-boot,org.springframework.boot:spring-boot-starter-web,org.springframework.boot:spring-boot-starter-web,,,
spring-projects,spring-security,org.springframework.security:spring-security-test,org.springframework.security:spring-security-test,,,
webjars,bootstrap,org.webjars:bootstrap,org.webjars:bootstrap,,,
webjars,jquery,org.webjars:jquery,org.webjars:jquery,,,
x-stream,xstream,com.thoughtworks.xstream:xstream,com.thoughtworks.xstream:xstream,,,
,,xml-resolver:xml-resolver,xml-resolver:xml-resolver,,,