Competitor Component Name (279),Competitor CVEs,Confidence,Sonatype Component Name (1108),Sonatype CVEs,Sonatype Occurence Path
accepts:1.3.5,snyk:lic:npm:accepts:MIT,10,accepts:1.3.5,,./node_modules/accepts/index.js
ansi-regex:2.1.1,snyk:lic:npm:ansi-regex:MIT,10,ansi-regex:2.1.1,,./node_modules/ansi-regex/index.js
arr-diff:4.0.0,snyk:lic:npm:arr-diff:MIT,10,arr-diff:4.0.0,,./node_modules/arr-diff/index.js
arr-flatten:1.1.0,snyk:lic:npm:arr-flatten:MIT,10,arr-flatten:1.1.0,,./node_modules/arr-flatten/index.js
arr-union:3.1.0,snyk:lic:npm:arr-union:MIT,10,arr-union:3.1.0,,./node_modules/arr-union/index.js
array-filter:1.0.0,snyk:lic:npm:array-filter:MIT,10,array-filter:1.0.0,,./node_modules/array-filter/index.js
array-flatten:1.1.1,snyk:lic:npm:array-flatten:MIT,10,array-flatten:1.1.1,,./node_modules/array-flatten/array-flatten.js
array-unique:0.3.2,snyk:lic:npm:array-unique:MIT,10,array-unique:0.3.2,,./node_modules/array-unique/index.js
assign-symbols:1.0.0,snyk:lic:npm:assign-symbols:MIT,10,assign-symbols:1.0.0,,./node_modules/assign-symbols/index.js
async-each:1.0.3,snyk:lic:npm:async-each:MIT,10,async-each:1.0.3,,./node_modules/async-each/index.js
async:0.2.10,snyk:lic:npm:async:MIT,10,async:0.2.10,,./node_modules/broadway/node_modules/async/component.json
atob:2.1.2,snyk:lic:npm:atob:(MIT_OR_Apache-2.0),10,atob:2.1.2,,./node_modules/atob/bin/atob.js
available-typed-arrays:1.0.2,snyk:lic:npm:available-typed-arrays:MIT,10,available-typed-arrays:1.0.2,,./node_modules/available-typed-arrays/.eslintrc
balanced-match:1.0.0,snyk:lic:npm:balanced-match:MIT,10,balanced-match:1.0.0,,./node_modules/balanced-match/index.js
base:0.11.2,snyk:lic:npm:base:MIT,10,base:0.11.2,,./node_modules/base/index.js
binary-extensions:1.13.1,snyk:lic:npm:binary-extensions:MIT,10,binary-extensions:1.13.1,,./node_modules/binary-extensions/binary-extensions.json
bluebird:3.5.3,snyk:lic:npm:bluebird:MIT,10,bluebird:3.5.3,,./node_modules/bluebird/js/browser/bluebird.core.js
body-parser:1.18.3,snyk:lic:npm:body-parser:MIT,10,body-parser:1.18.3,,./node_modules/body-parser/index.js
brace-expansion:1.1.11,snyk:lic:npm:brace-expansion:MIT,10,brace-expansion:1.1.11,,./node_modules/brace-expansion/index.js
braces:2.3.2,snyk:lic:npm:braces:MIT,10,braces:2.3.2,,./node_modules/braces/index.js
broadway:0.3.6,snyk:lic:npm:broadway:MIT,10,broadway:0.3.6,,./node_modules/broadway/bin/build
bson:1.0.9,"snyk:lic:npm:bson:Apache-2.0, SNYK-JS-BSON-561052",10,bson:1.0.9,"CVE-2019-2391, CVE-2020-7610",./node_modules/bson/bower.json
buffer-shims:1.0.0,snyk:lic:npm:buffer-shims:MIT,10,buffer-shims:1.0.0,,./node_modules/buffer-shims/index.js
random-bytes:1.0.0,snyk:lic:npm:random-bytes:MIT,10,bytes:1.0.0,,./node_modules/body/node_modules/bytes/Makefile
bytes:3.0.0,snyk:lic:npm:bytes:MIT,10,bytes:3.0.0,,./node_modules/bytes/index.js
cache-base:1.0.1,snyk:lic:npm:cache-base:MIT,10,cache-base:1.0.1,,./node_modules/cache-base/index.js
caller:0.0.1,snyk:lic:npm:caller:MIT,10,caller:0.0.1,,./node_modules/caller/index.js
camelcase:1.2.1,snyk:lic:npm:camelcase:MIT,10,camelcase:1.2.1,,./node_modules/camelcase/index.js
camelize:1.0.0,snyk:lic:npm:camelize:MIT,10,camelize:1.0.0,,./node_modules/camelize/example/camel.js
chokidar:2.1.8,snyk:lic:npm:chokidar:MIT,10,chokidar:2.1.8,,./node_modules/forever-monitor/node_modules/chokidar/index.js
class-utils:0.3.6,snyk:lic:npm:class-utils:MIT,10,class-utils:0.3.6,,./node_modules/class-utils/index.js
cliff:0.1.10,snyk:lic:npm:cliff:MIT,10,cliff:0.1.10,,./node_modules/cliff/assets/inspect.png
clone:2.1.2,snyk:lic:npm:clone:MIT,10,clone:2.1.2,,./node_modules/clone/clone.iml
code-point-at:1.1.0,snyk:lic:npm:code-point-at:MIT,10,code-point-at:1.1.0,,./node_modules/code-point-at/index.js
collection-visit:1.0.0,snyk:lic:npm:collection-visit:MIT,10,collection-visit:1.0.0,,./node_modules/collection-visit/index.js
colors:0.6.2,snyk:lic:npm:colors:MIT,10,colors:0.6.2,,./node_modules/colors/colors.js
component-emitter:1.2.1,snyk:lic:npm:component-emitter:MIT,10,component-emitter:1.2.1,,./node_modules/component-emitter/index.js
concat-map:0.0.1,snyk:lic:npm:concat-map:MIT,10,concat-map:0.0.1,,./node_modules/concat-map/README.markdown
connect:3.4.1,snyk:lic:npm:connect:MIT,10,connect:3.4.1,,./node_modules/connect/index.js
consolidate:0.14.5,snyk:lic:npm:consolidate:MIT,10,consolidate:0.14.5,,./node_modules/consolidate/.eslintrc
content-disposition:0.5.2,snyk:lic:npm:content-disposition:MIT,10,content-disposition:0.5.2,,./node_modules/content-disposition/index.js
content-security-policy-builder:1.0.0,snyk:lic:npm:content-security-policy-builder:MIT,10,content-security-policy-builder:1.0.0,,./node_modules/content-security-policy-builder/index.js
content-type:1.0.4,snyk:lic:npm:content-type:MIT,10,content-type:1.0.4,,./node_modules/content-type/index.js
cookie-signature:1.0.6,snyk:lic:npm:cookie-signature:MIT,10,cookie-signature:1.0.6,,./node_modules/cookie-signature/index.js
cookie:0.3.1,snyk:lic:npm:cookie:MIT,10,cookie:0.3.1,,./node_modules/cookie/index.js
copy-descriptor:0.1.1,snyk:lic:npm:copy-descriptor:MIT,10,copy-descriptor:0.1.1,,./node_modules/copy-descriptor/index.js
core-util-is:1.0.2,snyk:lic:npm:core-util-is:MIT,10,core-util-is:1.0.2,,./node_modules/core-util-is/float.patch
crc:3.4.4,snyk:lic:npm:crc:MIT,10,crc:3.4.4,,./node_modules/crc/lib/crc1.js
csrf:3.0.6,snyk:lic:npm:csrf:MIT,10,csrf:3.0.6,,./node_modules/csrf/index.js
csurf:1.9.0,snyk:lic:npm:csurf:MIT,10,csurf:1.9.0,"sonatype-2020-0440, sonatype-2022-5572",./node_modules/csurf/index.js
dashify:0.2.2,snyk:lic:npm:dashify:MIT,10,dashify:0.2.2,,./node_modules/dashify/index.js
debug:2.2.0,"snyk:lic:npm:debug:MIT, npm:debug:20170905",10,debug:2.2.0,sonatype-2017-0519,./node_modules/connect/node_modules/debug/.jshintrc
decamelize:1.2.0,snyk:lic:npm:decamelize:MIT,10,decamelize:1.2.0,,./node_modules/decamelize/index.js
decode-uri-component:0.2.0,snyk:lic:npm:decode-uri-component:MIT,10,decode-uri-component:0.2.0,CVE-2022-38900,./node_modules/decode-uri-component/index.js
deep-equal:0.1.2,snyk:lic:npm:deep-equal:MIT,10,deep-equal:0.1.2,,./node_modules/tape/node_modules/deep-equal/example/cmp.js
deep-extend:0.6.0,snyk:lic:npm:deep-extend:MIT,10,deep-extend:0.6.0,,./node_modules/deep-extend/index.js
define-properties:1.1.3,snyk:lic:npm:define-properties:MIT,10,define-properties:1.1.3,,./node_modules/define-properties/.editorconfig
define-property:0.2.5,snyk:lic:npm:define-property:MIT,10,define-property:0.2.5,,./node_modules/class-utils/node_modules/define-property/index.js
defined:0.0.0,snyk:lic:npm:defined:MIT,10,defined:0.0.0,,./node_modules/defined/example/defined.js
delegates:1.0.0,snyk:lic:npm:delegates:MIT,10,delegates:1.0.0,,./node_modules/npm/node_modules/node-gyp/node_modules/npmlog/node_modules/are-we-there-yet/node_modules/delegates/License
depd:1.1.0,snyk:lic:npm:depd:MIT,10,depd:1.1.0,,./node_modules/nocache/node_modules/depd/index.js
destroy:1.0.4,snyk:lic:npm:destroy:MIT,10,destroy:1.0.4,,./node_modules/destroy/index.js
director:1.2.7,snyk:lic:npm:director:MIT,10,director:1.2.7,,./node_modules/director/bin/build
dns-prefetch-control:0.1.0,snyk:lic:npm:dns-prefetch-control:MIT,10,dns-prefetch-control:0.1.0,,./node_modules/dns-prefetch-control/index.js
dont-sniff-mimetype:1.0.0,snyk:lic:npm:dont-sniff-mimetype:MIT,10,dont-sniff-mimetype:1.0.0,,./node_modules/dont-sniff-mimetype/index.js
ee-first:1.1.1,snyk:lic:npm:ee-first:MIT,10,ee-first:1.1.1,,./node_modules/ee-first/index.js
encodeurl:1.0.2,snyk:lic:npm:encodeurl:MIT,10,encodeurl:1.0.2,,./node_modules/encodeurl/index.js
es-abstract:1.17.5,snyk:lic:npm:es-abstract:MIT,10,es-abstract:1.17.5,,./node_modules/es-abstract/.editorconfig
es-get-iterator:1.1.0,snyk:lic:npm:es-get-iterator:MIT,10,es-get-iterator:1.1.0,,./node_modules/es-get-iterator/.eslintrc
es-to-primitive:1.2.1,snyk:lic:npm:es-to-primitive:MIT,10,es-to-primitive:1.2.1,,./node_modules/es-to-primitive/.eslintrc
es6-promise:3.2.1,snyk:lic:npm:es6-promise:MIT,10,es6-promise:3.2.1,,./node_modules/es6-promise/dist/es6-promise.js
escape-html:1.0.3,snyk:lic:npm:escape-html:MIT,10,escape-html:1.0.3,,./node_modules/escape-html/index.js
etag:1.8.1,snyk:lic:npm:etag:MIT,10,etag:1.8.1,,./node_modules/etag/index.js
event-stream:0.5.3,snyk:lic:npm:event-stream:MIT,10,event-stream:0.5.3,,./node_modules/event-stream/.gitmodules
eventemitter2:0.4.14,snyk:lic:npm:eventemitter2:MIT,10,eventemitter2:0.4.14,,./node_modules/eventemitter2/index.js
expand-brackets:2.1.4,snyk:lic:npm:expand-brackets:MIT,10,expand-brackets:2.1.4,,./node_modules/expand-brackets/index.js
express-session:1.15.6,snyk:lic:npm:express-session:MIT,10,express-session:1.15.6,,./node_modules/express-session/index.js
express:4.16.4,snyk:lic:npm:express:MIT,10,express:4.16.4,sonatype-2012-0022,./node_modules/express/index.js
extend-shallow:2.0.1,snyk:lic:npm:extend-shallow:MIT,10,extend-shallow:2.0.1,,./node_modules/braces/node_modules/extend-shallow/index.js
extglob:2.0.4,snyk:lic:npm:extglob:MIT,10,extglob:2.0.4,,./node_modules/extglob/index.js
eyes:0.1.8,snyk:lic:npm:eyes:MIT,10,eyes:0.1.8,,./node_modules/eyes/Makefile
fill-range:4.0.0,snyk:lic:npm:fill-range:MIT,10,fill-range:4.0.0,,./node_modules/fill-range/index.js
finalhandler:0.4.1,snyk:lic:npm:finalhandler:MIT,10,finalhandler:0.4.1,,./node_modules/connect/node_modules/finalhandler/index.js
flatiron:0.4.3,snyk:lic:npm:flatiron:MIT,10,flatiron:0.4.3,,./node_modules/flatiron/bin/flatiron
for-in:1.0.2,snyk:lic:npm:for-in:MIT,10,for-in:1.0.2,,./node_modules/for-in/index.js
foreach:2.0.5,snyk:lic:npm:foreach:MIT,10,foreach:2.0.5,,./node_modules/foreach/Makefile
forever-monitor:2.0.0,snyk:lic:npm:forever-monitor:MIT,10,forever-monitor:2.0.0,,./node_modules/forever-monitor/lib/forever-monitor/common.js
forever:2.0.0,snyk:lic:npm:forever:MIT,10,forever:2.0.0,,./node_modules/forever/bin/forever
forwarded:0.1.2,snyk:lic:npm:forwarded:MIT,10,forwarded:0.1.2,,./node_modules/forwarded/index.js
fragment-cache:0.2.1,snyk:lic:npm:fragment-cache:MIT,10,fragment-cache:0.2.1,,./node_modules/fragment-cache/index.js
frameguard:2.0.0,snyk:lic:npm:frameguard:MIT,10,frameguard:2.0.0,,./node_modules/frameguard/index.js
fresh:0.5.2,snyk:lic:npm:fresh:MIT,10,fresh:0.5.2,,./node_modules/fresh/index.js
function-bind:1.1.1,snyk:lic:npm:function-bind:MIT,10,function-bind:1.1.1,,./node_modules/function-bind/.editorconfig
get-value:2.0.6,snyk:lic:npm:get-value:MIT,10,get-value:2.0.6,,./node_modules/get-value/index.js
glob-parent:3.1.0,SNYK-JS-GLOBPARENT-1016905,10,glob-parent:3.1.0,CVE-2020-28469,./node_modules/glob-parent/index.js
has-symbols:1.0.1,snyk:lic:npm:has-symbols:MIT,10,has-symbols:1.0.1,,./node_modules/has-symbols/.eslintrc
has-value:0.3.1,snyk:lic:npm:has-value:MIT,10,has-value:0.3.1,,./node_modules/unset-value/node_modules/has-value/index.js
has-values:0.1.4,snyk:lic:npm:has-values:MIT,10,has-values:0.1.4,,./node_modules/unset-value/node_modules/has-values/index.js
has:1.0.3,snyk:lic:npm:has:MIT,10,has:1.0.3,,./node_modules/has/package.json
helmet-csp:1.2.2,"SNYK-JS-HELMETCSP-469436, snyk:lic:npm:helmet-csp:MIT",10,helmet-csp:1.2.2,sonatype-2019-0410,./node_modules/helmet-csp/index.js
helmet:2.3.0,snyk:lic:npm:helmet:MIT,10,helmet:2.3.0,,./node_modules/helmet/config.json
hide-powered-by:1.0.0,snyk:lic:npm:hide-powered-by:MIT,10,hide-powered-by:1.0.0,,./node_modules/hide-powered-by/index.js
hpkp:1.2.0,snyk:lic:npm:hpkp:MIT,10,hpkp:1.2.0,,./node_modules/hpkp/index.js
hsts:1.0.0,snyk:lic:npm:hsts:MIT,10,hsts:1.0.0,,./node_modules/hsts/index.js
http-errors:1.5.1,snyk:lic:npm:http-errors:MIT,10,http-errors:1.5.1,,./node_modules/csurf/node_modules/http-errors/index.js
i:0.3.6,"snyk:lic:npm:i:MIT, SNYK-JS-I-1726768",10,i:0.3.6,CVE-2021-3820,./node_modules/i/lib/defaults.js
iconv-lite:0.4.23,snyk:lic:npm:iconv-lite:MIT,10,iconv-lite:0.4.23,,./node_modules/iconv-lite/encodings/dbcs-codec.js
ienoopen:1.0.0,snyk:lic:npm:ienoopen:MIT,10,ienoopen:1.0.0,,./node_modules/ienoopen/index.js
ini:1.3.5,SNYK-JS-INI-1048974,10,ini:1.3.5,sonatype-2020-1214,./node_modules/ini/ini.js
invert-kv:1.0.0,snyk:lic:npm:invert-kv:MIT,10,invert-kv:1.0.0,,./node_modules/invert-kv/index.js
ipaddr.js:1.8.0,snyk:lic:npm:ipaddr.js:MIT,10,ipaddr.js:1.8.0,,./node_modules/ipaddr.js/ipaddr.min.js
is-accessor-descriptor:0.1.6,snyk:lic:npm:is-accessor-descriptor:MIT,10,is-accessor-descriptor:0.1.6,,./node_modules/is-accessor-descriptor/index.js
is-arguments:1.0.4,snyk:lic:npm:is-arguments:MIT,10,is-arguments:1.0.4,,./node_modules/is-arguments/.editorconfig
is-bigint:1.0.0,snyk:lic:npm:is-bigint:MIT,10,is-bigint:1.0.0,,./node_modules/is-bigint/.editorconfig
is-binary-path:1.0.1,snyk:lic:npm:is-binary-path:MIT,10,is-binary-path:1.0.1,,./node_modules/is-binary-path/index.js
is-boolean-object:1.0.1,snyk:lic:npm:is-boolean-object:MIT,10,is-boolean-object:1.0.1,,./node_modules/is-boolean-object/.eslintrc
is-buffer:1.1.6,snyk:lic:npm:is-buffer:MIT,10,is-buffer:1.1.6,,./node_modules/is-buffer/index.js
is-callable:1.1.5,snyk:lic:npm:is-callable:MIT,10,is-callable:1.1.5,,./node_modules/is-callable/.editorconfig
is-data-descriptor:0.1.4,snyk:lic:npm:is-data-descriptor:MIT,10,is-data-descriptor:0.1.4,,./node_modules/is-data-descriptor/index.js
is-date-object:1.0.2,snyk:lic:npm:is-date-object:MIT,10,is-date-object:1.0.2,,./node_modules/is-date-object/.eslintrc
is-descriptor:0.1.6,snyk:lic:npm:is-descriptor:MIT,10,is-descriptor:0.1.6,,./node_modules/is-descriptor/index.js
is-extendable:0.1.1,snyk:lic:npm:is-extendable:MIT,10,is-extendable:0.1.1,,./node_modules/is-extendable/index.js
is-extglob:2.1.1,snyk:lic:npm:is-extglob:MIT,10,is-extglob:2.1.1,,./node_modules/is-extglob/index.js
is-fullwidth-code-point:1.0.0,snyk:lic:npm:is-fullwidth-code-point:MIT,10,is-fullwidth-code-point:1.0.0,,./node_modules/is-fullwidth-code-point/index.js
is-glob:3.1.0,snyk:lic:npm:is-glob:MIT,10,is-glob:3.1.0,,./node_modules/glob-parent/node_modules/is-glob/index.js
is-map:2.0.1,snyk:lic:npm:is-map:MIT,10,is-map:2.0.1,,./node_modules/is-map/.eslintrc
is-number-object:1.0.4,snyk:lic:npm:is-number-object:MIT,10,is-number-object:1.0.4,,./node_modules/is-number-object/.eslintrc
is-number:3.0.0,snyk:lic:npm:is-number:MIT,10,is-number:3.0.0,,./node_modules/has-values/node_modules/is-number/index.js
is-plain-object:2.0.4,snyk:lic:npm:is-plain-object:MIT,10,is-plain-object:2.0.4,,./node_modules/is-plain-object/index.d.ts
is-regex:1.0.5,snyk:lic:npm:is-regex:MIT,10,is-regex:1.0.5,,./node_modules/is-regex/.eslintrc
is-set:2.0.1,snyk:lic:npm:is-set:MIT,10,is-set:2.0.1,,./node_modules/is-set/.eslintrc
is-string:1.0.5,snyk:lic:npm:is-string:MIT,10,is-string:1.0.5,,./node_modules/is-string/.eslintrc
is-symbol:1.0.3,snyk:lic:npm:is-symbol:MIT,10,is-symbol:1.0.3,,./node_modules/is-symbol/.editorconfig
is-typed-array:1.1.3,snyk:lic:npm:is-typed-array:MIT,10,is-typed-array:1.1.3,,./node_modules/is-typed-array/.eslintrc
is-weakmap:2.0.1,snyk:lic:npm:is-weakmap:MIT,10,is-weakmap:2.0.1,,./node_modules/is-weakmap/.eslintrc
is-weakset:2.0.1,snyk:lic:npm:is-weakset:MIT,10,is-weakset:2.0.1,,./node_modules/is-weakset/.eslintrc
is-windows:1.0.2,snyk:lic:npm:is-windows:MIT,10,is-windows:1.0.2,,./node_modules/is-windows/index.js
isarray:1.0.0,snyk:lic:npm:isarray:MIT,10,isarray:1.0.0,,./node_modules/isarray/Makefile
isobject:2.1.0,snyk:lic:npm:isobject:MIT,10,isobject:2.1.0,,./node_modules/nyc/node_modules/isobject/index.js
isstream:0.1.2,snyk:lic:npm:isstream:MIT,10,isstream:0.1.2,,./node_modules/isstream/.jshintrc
kind-of:3.2.2,snyk:lic:npm:kind-of:MIT,10,kind-of:3.2.2,,./node_modules/has-values/node_modules/is-number/node_modules/kind-of/index.js
kind-of:6.0.2,SNYK-JS-KINDOF-537849,10,kind-of:6.0.2,CVE-2019-20149,./node_modules/base/node_modules/kind-of/index.js
lazy:1.0.11,snyk:lic:npm:lazy:MIT,10,lazy:1.0.11,,./node_modules/lazy/lazy.js
lcid:1.0.0,snyk:lic:npm:lcid:MIT,10,lcid:1.0.0,,./node_modules/lcid/index.js
lodash.reduce:4.5.0,snyk:lic:npm:lodash.reduce:MIT,10,lodash.reduce:4.5.0,,./node_modules/lodash.reduce/index.js
map-cache:0.2.2,snyk:lic:npm:map-cache:MIT,10,map-cache:0.2.2,,./node_modules/map-cache/index.js
map-visit:1.0.0,snyk:lic:npm:map-visit:MIT,10,map-visit:1.0.0,,./node_modules/map-visit/index.js
marked:0.3.9,"snyk:lic:npm:marked:MIT, SNYK-JS-MARKED-174116, SNYK-JS-MARKED-451540, SNYK-JS-MARKED-584281, npm:marked:20180225",10,marked:0.3.9,"sonatype-2017-0636, sonatype-2018-0076, sonatype-2018-0378",./node_modules/marked/Gulpfile.js
media-typer:0.3.0,snyk:lic:npm:media-typer:MIT,10,media-typer:0.3.0,,./node_modules/media-typer/index.js
merge-descriptors:1.0.1,snyk:lic:npm:merge-descriptors:MIT,10,merge-descriptors:1.0.1,,./node_modules/merge-descriptors/index.js
methods:1.1.2,snyk:lic:npm:methods:MIT,10,methods:1.1.2,,./node_modules/methods/index.js
micromatch:3.1.10,snyk:lic:npm:micromatch:MIT,10,micromatch:3.1.10,,./node_modules/liftoff/node_modules/micromatch/index.js
mime-db:1.37.0,snyk:lic:npm:mime-db:MIT,10,mime-db:1.37.0,,./node_modules/mime-db/db.json
mime-types:2.1.21,snyk:lic:npm:mime-types:MIT,10,mime-types:2.1.21,,./node_modules/mime-types/index.js
mime:1.4.1,snyk:lic:npm:mime:MIT,10,mime:1.4.1,,./node_modules/mime/build/build.js
minimist:0.0.10,"snyk:lic:npm:minimist:MIT, SNYK-JS-MINIMIST-559764",10,minimist:0.0.10,CVE-2020-7598,./node_modules/minimist/example/parse.js
mixin-deep:1.3.1,"snyk:lic:npm:mixin-deep:MIT, SNYK-JS-MIXINDEEP-450212",10,mixin-deep:1.3.1,CVE-2019-10746,./node_modules/mixin-deep/index.js
mkdirp:0.5.1,snyk:lic:npm:mkdirp:MIT,10,mkdirp:0.5.1,,./node_modules/mkdirp/bin/cmd.js
mongodb-core:2.1.20,snyk:lic:npm:mongodb-core:Apache-2.0,10,mongodb-core:2.1.20,,./node_modules/mongodb-core/.eslintrc
mongodb:2.2.36,"snyk:lic:npm:mongodb:Apache-2.0, SNYK-JS-MONGODB-473855",10,mongodb:2.2.36,sonatype-2019-0438,./node_modules/mongodb/.eslintrc
ms:0.7.1,"snyk:lic:npm:ms:MIT, npm:ms:20170412",10,ms:0.7.1,sonatype-2017-0621,./node_modules/connect/node_modules/ms/index.js
nanomatch:1.2.13,snyk:lic:npm:nanomatch:MIT,10,nanomatch:1.2.13,,./node_modules/nanomatch/index.js
nconf:0.10.0,snyk:lic:npm:nconf:MIT,10,nconf:0.10.0,CVE-2022-21803,./node_modules/nconf/.eslintrc.json
ncp:0.4.2,snyk:lic:npm:ncp:MIT,10,ncp:0.4.2,,./node_modules/ncp/bin/ncp
needle:2.2.4,snyk:lic:npm:needle:MIT,10,needle:2.2.4,,./node_modules/needle/bin/needle
negotiator:0.6.1,snyk:lic:npm:negotiator:MIT,10,negotiator:0.6.1,,./node_modules/negotiator/index.js
nocache:1.0.1,snyk:lic:npm:nocache:MIT,10,nocache:1.0.1,,./node_modules/nocache/index.js
node-esapi:0.0.1,snyk:lic:npm:node-esapi:MIT,10,node-esapi:0.0.1,,./node_modules/node-esapi/lib/esapi.js
normalize-path:2.1.1,snyk:lic:npm:normalize-path:MIT,10,normalize-path:2.1.1,,./node_modules/anymatch/node_modules/normalize-path/index.js
nssocket:0.6.0,snyk:lic:npm:nssocket:MIT,10,nssocket:0.6.0,,./node_modules/nssocket/examples/bla.js
number-is-nan:1.0.1,snyk:lic:npm:number-is-nan:MIT,10,number-is-nan:1.0.1,,./node_modules/number-is-nan/index.js
object-assign:4.1.1,snyk:lic:npm:object-assign:MIT,10,object-assign:4.1.1,,./node_modules/figures/node_modules/object-assign/index.js
object-copy:0.1.0,snyk:lic:npm:object-copy:MIT,10,object-copy:0.1.0,,./node_modules/object-copy/index.js
object-inspect:1.7.0,snyk:lic:npm:object-inspect:MIT,10,object-inspect:1.7.0,,./node_modules/object-inspect/.eslintrc
object-is:1.0.2,snyk:lic:npm:object-is:MIT,10,object-is:1.0.2,,./node_modules/object-is/.eslintrc
